,CITATION NUMBER,OFF FROM DATE,OFF TIME,RACE-ORIGIN CODE,CASE PARTY SEX,REASON FOR STOP,RACE KNOWN,VL STREET NAME,MSEARCH Y/N,MSEARCH TYPE,MSEARCH FOUND,latitude,longitude
223,13795099.0,05/18/2015 12:00:00 AM,20:40:00,W,M,1.0,N,26TH STREET,N,,,30.2907232,-97.7453479
224,13795606.0,11/16/2015 12:00:00 AM,15:30:00,H,M,1.0,N,8400 BLOCK JAMESTOWN DRIVE,N,,,30.355324,-97.71279
225,13795607.0,11/16/2015 12:00:00 AM,15:55:00,H,M,1.0,N,8300 BLOCK JAMESTOWN DRIVE,N,,,30.355867,-97.713905
226,13795608.0,11/16/2015 12:00:00 AM,16:30:00,H,F,1.0,N,8400 BLOCK JAMESTOWN DRIVE,N,,,30.355324,-97.71279
227,13798809.0,10/14/2015 12:00:00 AM,8:51:00,A,M,1.0,N,3600 TO 4100 BLOCK NORTH,N,,,30.267153,-97.7430608
228,13808918.0,02/13/2015 12:00:00 AM,18:15:00,H,M,1.0,N,200 BLOCK EAST WILLIAM CANNON DRIVE,N,,,30.192728,-97.77728
229,13812854.0,11/23/2015 12:00:00 AM,21:58:00,W,M,1.0,N,5100 BLOCK NORTH IH 35,N,,,30.569487,-97.69596039999999
230,13812855.0,12/09/2015 12:00:00 AM,0:30:00,W,F,1.0,N,45TH STREET,N,,,30.3157714,-97.7424829
231,13812857.0,12/16/2015 12:00:00 AM,16:40:00,W,M,1.0,N,WINDSOR STREET,N,,,30.2936434,-97.7650044
232,13812858.0,12/16/2015 12:00:00 AM,18:30:00,W,F,5.0,N,2400 BLOCK GUADALUPE STREET,N,,,30.287773,-97.74156
233,13812859.0,12/22/2015 12:00:00 AM,18:50:00,W,M,1.0,N,15TH STREET,N,,,30.2787666,-97.7462461
234,13812935.0,03/16/2015 12:00:00 AM,12:20:00,W,M,1.0,N,100 BLOCK BRAZOS STREET,N,,,30.2630231,-97.7432036
235,13813476.0,10/25/2015 12:00:00 AM,15:13:00,H,M,5.0,N,NORTH LAMAR BOULEVARD,N,,,30.3457517,-97.714049
236,13815668.0,11/28/2015 12:00:00 AM,12:30:00,B,F,5.0,N,200 BLOCK NORTH I H 35,N,,,30.4367853,-97.66923039999999
237,13815879.0,01/10/2015 12:00:00 AM,0:00:00,,,1.0,N,2500 BLOCK NUECES STREET,N,,,30.289263,-97.74303
